movie_name,ranking,score,score_num,tag
肖申克的救赎,1,9.6,1180373,"
                            导演: 弗兰克·德拉邦特 Frank Darabont???主演: 蒂姆·罗宾斯 Tim Robbins /...,
                            1994?/?美国?/?犯罪 剧情
                        ,
                                ,
                            "
霸王别姬,2,9.6,865782,"
                            导演: 陈凯歌 Kaige Chen???主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,
                            1993?/?中国大陆 香港?/?剧情 爱情 同性
                        ,
                                ,
                            "
这个杀手不太冷,3,9.4,1087860,"
                            导演: 吕克·贝松 Luc Besson???主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,
                            1994?/?法国?/?剧情 动作 犯罪
                        ,
                                ,
                            "
阿甘正传,4,9.4,930580,"
                            导演: Robert Zemeckis???主演: Tom Hanks / Robin Wright Penn / Gary Sinise,
                            1994?/?美国?/?剧情 爱情
                        ,
                                ,
                            "
美丽人生,5,9.5,543540,"
                            导演: 罗伯托·贝尼尼 Roberto Benigni???主演: 罗伯托·贝尼尼 Roberto Beni...,
                            1997?/?意大利?/?剧情 喜剧 爱情 战争
                        ,
                                ,
                            "
泰坦尼克号,6,9.3,866933,"
                            导演: 詹姆斯·卡梅隆 James Cameron???主演: 莱昂纳多·迪卡普里奥 Leonardo...,
                            1997?/?美国?/?剧情 爱情 灾难
                        ,
                                ,
                            "
千与千寻,7,9.3,861140,"
                            导演: 宫崎骏 Hayao Miyazaki???主演: 柊瑠美 Rumi H?ragi / 入野自由 Miy...,
                            2001?/?日本?/?剧情 动画 奇幻
                        ,
                                ,
                            "
辛德勒的名单,8,9.5,489404,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg???主演: 连姆·尼森 Liam Neeson...,
                            1993?/?美国?/?剧情 历史 战争
                        ,
                                ,
                            "
盗梦空间,9,9.3,950691,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan???主演: 莱昂纳多·迪卡普里奥 Le...,
                            2010?/?美国 英国?/?剧情 科幻 悬疑 冒险
                        ,
                                ,
                            "
机器人总动员,10,9.3,629607,"
                            导演: 安德鲁·斯坦顿 Andrew Stanton???主演: 本·贝尔特 Ben Burtt / 艾丽...,
                            2008?/?美国?/?爱情 科幻 动画 冒险
                        ,
                                ,
                            "
忠犬八公的故事,11,9.3,611924,"
                            导演: 莱塞·霍尔斯道姆 Lasse Hallstr?m???主演: 理查·基尔 Richard Ger...,
                            2009?/?美国 英国?/?剧情
                        ,
                                ,
                            "
三傻大闹宝莱坞,12,9.2,850502,"
                            导演: 拉库马·希拉尼 Rajkumar Hirani???主演: 阿米尔·汗 Aamir Khan / 卡...,
                            2009?/?印度?/?剧情 喜剧 爱情 歌舞
                        ,
                                ,
                            "
海上钢琴师,13,9.2,711685,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore???主演: 蒂姆·罗斯 Tim Roth / ...,
                            1998?/?意大利?/?剧情 音乐
                        ,
                                ,
                            "
放牛班的春天,14,9.2,583385,"
                            导演: 克里斯托夫·巴拉蒂 Christophe Barratier???主演: 杰拉尔·朱诺 Géra...,
                            2004?/?法国 瑞士 德国?/?剧情 音乐
                        ,
                                ,
                            "
大话西游之大圣娶亲,15,9.2,642416,"
                            导演: 刘镇伟 Jeffrey Lau???主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,
                            1995?/?香港 中国大陆?/?喜剧 爱情 奇幻 冒险
                        ,
                                ,
                            "
楚门的世界,16,9.2,622250,"
                            导演: 彼得·威尔 Peter Weir???主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,
                            1998?/?美国?/?剧情 科幻
                        ,
                                ,
                            "
教父,17,9.2,431229,"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola???主演: 马龙·白兰度 M...,
                            1972?/?美国?/?剧情 犯罪
                        ,
                                ,
                            "
