movie_name,ranking,director,score,score_num,tag,year,country,actor
V字仇杀队,48,詹姆斯·麦克特格 James McTeigue,8.8,519202,剧情 动作 科幻 惊悚,2005,美 国   英 国   德 国, 娜塔莉·波特曼 Natalie Por...
海豚湾,49,Louie Psihoyos,9.3,212777,纪录片,2009,美 国, John Chisholm / Mandy-Rae Cruikshank / Char...
教父2,50,弗朗西斯·福特·科波拉 Francis Ford Coppola,9.1,233084,剧情 犯罪,1974,美 国, 阿尔·帕西诺 A...
指环王2：双塔奇兵,51,彼得·杰克逊 Peter Jackson,9,328420,剧情 动作 奇幻 冒险,2002,美 国   新 西 兰, 伊利亚·伍德 Elijah Wood / 西恩...
指环王1：魔戒再现,52,彼得·杰克逊 Peter Jackson,8.9,367789,剧情 动作 奇幻 冒险,2001,新 西 兰   美 国, 伊利亚·伍德 Elijah Wood / 西恩...
美丽心灵,53,朗·霍华德 Ron Howard,8.9,366630,传记 剧情,2001,美 国, 罗素·克劳 Russell Crowe / 艾德·哈...
饮食男女,54,李安 Ang Lee,9.1,251857,剧情 家庭,1994,台 湾   美 国, 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...
情书,55,岩井俊二 Shunji Iwai,8.8,449034,剧情 爱情,1995,日 本, 中山美穗 Miho Nakayama / 丰川悦司 Ets...
素媛,56,李濬益 Jun-ik Lee,9.1,236386,剧情,2013,韩 国, 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...
狮子王,57,Roger Allers / 罗伯·明可夫 Rob Minkoff,8.9,344760,剧情 动画 冒险 歌舞 家庭,1994,美 国, 乔纳森·泰勒·托马...
美国往事,58,赛尔乔·莱翁内 Sergio Leone,9.1,208869,犯罪 剧情,1984,意 大 利   美 国, 罗伯特·德尼罗 Robert De Niro ...
钢琴家,59,罗曼·波兰斯基 Roman Polanski,9.1,241988,剧情 传记 历史 战争 音乐,2002,法 国   德 国   英 国   波 兰, 艾德里安·布洛迪 Adrien Brod...
小鞋子,60,马基德·马基迪 Majid Majidi,9.2,174078,剧情 家庭 儿童,1997,伊 朗, Amir Farrokh Hashemian / 默罕...
七宗罪,61,大卫·芬奇 David Fincher,8.8,506918,剧情 犯罪 悬疑 惊悚,1995,美 国, 摩根·弗里曼 Morgan Freeman / 布...
被嫌弃的松子的一生,62,中岛哲也 Tetsuya Nakashima,8.9,362445,剧情 歌舞,2006,日 本, 中谷美纪 Miki Nakatani / 瑛太 E...
致命魔术,63,克里斯托弗·诺兰 Christopher Nolan,8.8,413375,剧情 悬疑 惊悚,2006,美 国   英 国, 休·杰克曼 Hugh Jackman...
天使爱美丽,64,让-皮埃尔·热内 Jean-Pierre Jeunet,8.7,564827,喜剧 爱情,2001,法 国   德 国, 奥黛丽·塔图 Audrey Tau...
本杰明·巴顿奇事,65,大卫·芬奇 David Fincher,8.8,470113,剧情 爱情 奇幻,2008,美 国, 凯特·布兰切特 Cate Blanchett / ...
西西里的美丽传说,66,朱塞佩·托纳多雷 Giuseppe Tornatore,8.8,435718,剧情 战争 情色,2000,意 大 利   美 国, 莫妮卡·贝鲁奇 Monica ...
黑客帝国,67,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,8.9,345237,动作 科幻,1999,美 国   澳 大 利 亚,
让子弹飞,68,姜文 Wen Jiang,8.7,763493,剧情 喜剧 动作 西部,2010,中 国 大 陆   香 港, 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...
拯救大兵瑞恩,69,史蒂文·斯皮尔伯格 Steven Spielberg,8.9,294635,剧情 历史 战争,1998,美 国, 汤姆·汉克斯 Tom Hanks...
音乐之声,70,Robert Wise,8.9,276282,剧情 传记 爱情 歌舞,1965,美 国, 朱丽·安德鲁斯 Julie Andrews / 克里斯托弗·普...
看不见的客人,71,奥里奥尔·保罗 Oriol Paulo,8.7,459078,剧情 犯罪 悬疑 惊悚,2016,西 班 牙, 马里奥·卡萨斯 Mario Casas / 阿...
末代皇帝,72,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,9,231358,剧情 传记 历史,1987,英 国   意 大 利   中 国 大 陆   法 国   美 国, 尊龙 John Lone / 陈...
