movie_name,director,nation,ranking,relinfo,score,tag,year
Sunset Boulevard,Billy Wilder,USA,56,"29 September 1950 (Australia)
",8.4," Drama
, Film-Noir
",1950
The Lives of Others,Florian Henckel von Donnersmarck,Germany,57,"30 March 2007 (USA)
",8.4," Drama
, Thriller
",2006
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,USA,58,"29 January 1964 (USA)
",8.4," Comedy
",1964
Paths of Glory,Stanley Kubrick,USA,59,"November 1957 (West Germany)
",8.4," Drama
, War
",1957
The Shining,Stanley Kubrick,UK,60,"13 June 1980 (USA)
",8.4," Drama
, Horror
",1980
Django Unchained,Quentin Tarantino,USA,61,"25 December 2012 (USA)
",8.4," Drama
, Western
",2012
WALL¡¤E,Andrew Stanton,USA,62,"27 June 2008 (USA)
",8.4," Animation
, Adventure
, Family
",2008
Princess Mononoke,Hayao Miyazaki,Japan,63,"12 July 1997 (Japan)
",8.4," Animation
, Adventure
, Fantasy
",1997
Witness for the Prosecution,Billy Wilder,USA,64,"6 February 1958 (USA)
",8.4," Crime
, Drama
, Mystery
",1957
American Beauty,Sam Mendes,USA,65,"1 October 1999 (USA)
",8.4," Drama
",1999
The Dark Knight Rises,Christopher Nolan,UK,66,"20 July 2012 (USA)
",8.4," Action
, Thriller
",2012
Oldboy,Chan-wook Park,South Korea,67,"21 November 2003 (South Korea)
",8.3," Action
, Drama
, Mystery
",2003
Aliens,James Cameron,USA,68,"18 July 1986 (USA)
",8.3," Action
, Adventure
, Sci-Fi
",1986
Coco,Lee Unkrich,USA,69,"22 November 2017 (USA)
",8.3," Animation
, Adventure
, Comedy
",2017
Once Upon a Time in America,Sergio Leone,USA,70,"1 June 1984 (USA)
",8.3," Crime
, Drama
",1984
Das Boot,Wolfgang Petersen,West Germany,71,"10 February 1982 (USA)
",8.3," Adventure
, Drama
, Thriller
",1981
Citizen Kane,Orson Welles,USA,72,"5 September 1941 (USA)
",8.3," Drama
, Mystery
",1941
Braveheart,Mel Gibson,USA,73,"24 May 1995 (USA)
",8.3," Biography
, Drama
, History
",1995
Vertigo,Alfred Hitchcock,USA,74,"21 July 1958 (Brazil)
",8.3," Mystery
, Romance
, Thriller
",1958
North by Northwest,Alfred Hitchcock,USA,75,"26 September 1959 (Japan)
",8.3," Adventure
, Mystery
, Thriller
",1959
Reservoir Dogs,Quentin Tarantino,USA,76,"2 September 1992 (France)
",8.3," Crime
, Drama
, Thriller
",1992
Star Wars: Episode VI - Return of the Jedi,Richard Marquand,USA,77,"25 May 1983 (USA)
",8.3," Action
, Adventure
, Fantasy
",1983
M,Fritz Lang,Germany,78,"31 August 1931 (Sweden)
",8.3," Crime
, Mystery
, Thriller
",1931
Your Name.,Makoto Shinkai,Japan,79,"7 April 2017 (USA)
",8.3," Animation
, Drama
, Fantasy
",2016
Dangal,Nitesh Tiwari,India,80,"21 December 2016 (USA)
",8.3," Action
, Biography
, Drama
",2016
Requiem for a Dream,Darren Aronofsky,USA,81,"15 December 2000 (USA)
",8.3," Drama
",2000
Amadeus,Milos Forman,USA,82,"19 September 1984 (USA)
",8.3," Biography
, Drama
, History
",1984
Like Stars on Earth,Aamir Khan,India,83,"21 December 2007 (India)
",8.3," Drama
, Family
",2007
Lawrence of Arabia,David Lean,UK,84,"11 December 1962 (UK)
",8.3," Adventure
, Biography
, Drama
",1962
Eternal Sunshine of the Spotless Mind,Michel Gondry,USA,85,"19 March 2004 (USA)
",8.3," Drama
, Romance
, Sci-Fi
",2004
A Clockwork Orange,Stanley Kubrick,UK,86,"2 February 1972 (USA)
",8.3," Crime
, Drama
, Sci-Fi
",1971
Am¨¦lie,Jean-Pierre Jeunet,France,87,"8 February 2002 (USA)
",8.3," Comedy
, Romance
",2001
3 Idiots,Rajkumar Hirani,India,88,"8 December 2011 (China)
",8.3," Comedy
, Drama
",2009
2001: A Space Odyssey,Stanley Kubrick,UK,89,"12 May 1968 (UK)
",8.3," Adventure
, Sci-Fi
",1968
Double Indemnity,Billy Wilder,USA,90,"6 July 1944 (USA)
",8.3," Crime
, Drama
, Film-Noir
",1944
Toy Story,John Lasseter,USA,91,"22 November 1995 (USA)
",8.3," Animation
, Adventure
, Comedy
",1995
Taxi Driver,Martin Scorsese,USA,92,"8 February 1976 (USA)
",8.3," Crime
, Drama
",1976
Singin' in the Rain,Stanley Donen,USA,93,"11 April 1952 (USA)
",8.3," Comedy
, Musical
, Romance
",1952
Full Metal Jacket,Stanley Kubrick,UK,94,"10 July 1987 (USA)
",8.3," Drama
, War
",1987
Inglourious Basterds,Quentin Tarantino,Germany,95,"21 August 2009 (USA)
",8.3," Adventure
, Drama
, War
",2009
